Movie_Title,Budget_M,Runtime_Min,Critic_Score,Rating,Success
Movie_102,99,131,86,1.2373027704752682,0
Movie_103,52,112,95,4.388170301902447,0
Movie_104,19,119,45,8.294979977036496,0
Movie_105,204,118,35,9.8854851638345,0
Movie_106,210,161,70,2.3537520199317536,0
Movie_107,219,80,76,6.347176438169216,1
Movie_108,194,90,48,4.428017709679194,0
Movie_109,44,171,97,9.72922958033143,1
Movie_110,217,136,88,8.579070308221379,1
Movie_111,212,168,66,8.54495834240024,1
Movie_112,241,129,81,5.218238438154732,0
Movie_113,86,102,88,4.733375521038987,0
Movie_114,115,110,95,3.4606636473763563,0
Movie_115,57,173,35,1.507379469858344,0
Movie_116,28,121,67,8.782501386295479,1
Movie_117,158,178,58,8.316109082170698,1
Movie_118,221,86,52,9.997459059575176,1
Movie_119,192,95,42,9.969731533665149,0
Movie_120,128,169,29,5.998885350423647,0
Movie_121,241,139,88,7.9208867366245945,1
Movie_122,45,81,53,9.502891568941852,1
Movie_123,161,80,71,8.646826516096702,1
Movie_124,19,127,29,3.226132915688779,0
Movie_125,49,91,38,5.054897217790842,0
Movie_126,69,148,77,2.162434736363455,0
Movie_127,93,116,20,9.586459245328502,0
Movie_128,75,111,88,6.455571710057921,1
Movie_129,13,88,23,3.0577852495311646,0
Movie_130,92,178,35,7.045306159652711,0
Movie_131,133,98,43,6.5631541641210625,0
Movie_132,240,127,99,4.223464462295564,0
Movie_133,140,159,21,2.022018329796661,0
Movie_134,220,82,51,7.044158760335196,1
Movie_135,67,99,43,5.68276930813414,0
Movie_136,143,103,31,7.950865525620754,0
Movie_137,247,133,69,5.68147151000794,0
Movie_138,85,112,54,8.669633502866862,1
Movie_139,140,103,52,5.9671615489703695,0
Movie_140,167,154,52,6.0484417438184765,1
Movie_141,167,151,80,8.889882423925105,1
Movie_142,37,115,70,4.631345795911574,0
Movie_143,127,117,62,2.2061370560557667,0
Movie_144,9,163,31,1.2590440868200508,0
Movie_145,238,178,86,7.796235301062571,1
Movie_146,235,168,84,6.582785962181182,1
Movie_147,45,178,52,7.336717912893012,1
Movie_148,32,104,59,2.9166774535801965,0
Movie_149,139,172,93,2.2273432802809277,0
Movie_150,205,97,62,1.1309019910109375,0
Movie_151,76,161,63,4.155288029259372,0
Movie_152,16,145,48,6.309259181691698,0
Movie_153,166,133,32,4.530196405897591,0
Movie_154,37,114,31,4.937274298213562,0
Movie_155,52,159,65,9.137428250443735,1
Movie_156,155,140,21,4.134299203209704,0
Movie_157,66,120,54,5.625905402438297,0
Movie_158,220,179,27,8.052877114670288,0
Movie_159,41,112,45,4.568885040891431,0
Movie_160,103,147,93,6.598780302050861,1
Movie_161,176,112,53,8.761273378720706,1
Movie_162,108,93,26,9.54568561291878,0
Movie_163,218,100,87,2.323661328361341,0
Movie_164,223,127,77,9.339288626453449,1
Movie_165,39,99,94,5.429046637715844,0
Movie_166,197,87,48,3.324199494690625,0
Movie_167,231,86,55,5.132221806144352,0
Movie_168,105,146,40,9.820293177569294,0
Movie_169,179,96,55,5.4335628459358265,0
Movie_170,210,112,29,3.958764492587574,0
Movie_171,135,127,92,6.700607688850532,1
Movie_172,5,155,43,3.1613105690037377,0
Movie_173,9,138,83,1.6827699529779752,0
Movie_174,222,165,68,2.159917497195843,0
Movie_175,146,101,55,2.152412550619952,0
Movie_176,107,109,43,2.3671242416106493,0
Movie_177,31,117,42,2.2494445538446914,0
Movie_178,141,130,81,6.767872703228932,1
Movie_179,211,133,56,2.6369207595923037,0
Movie_180,19,87,31,4.111005549914768,0
Movie_181,94,106,74,9.071095689154106,1
Movie_182,46,106,32,5.265654762365851,0
Movie_183,128,177,42,7.008019646689244,0
Movie_184,209,100,49,2.5508788408146685,0
Movie_185,183,109,36,2.730601169278037,0
Movie_186,67,176,81,1.3678175463983098,0
Movie_187,100,107,32,2.520415567649481,0
Movie_188,235,143,78,3.5073130512876274,0
Movie_189,245,176,38,2.5930943584907213,0
Movie_190,56,148,68,1.7983228038135004,0
Movie_191,100,140,31,2.085722839905407,0
Movie_192,136,127,80,5.147008912294532,0
Movie_193,226,98,38,2.8570034656521326,0
Movie_194,233,83,95,4.278428749432679,0
Movie_195,155,114,28,5.530755437693712,0
Movie_196,235,143,90,7.213553457664288,1
Movie_197,241,128,47,1.3538092585698904,0
Movie_198,147,96,97,8.194693590181384,1
Movie_199,175,123,71,6.6511035054181695,1
